,cum_return,max_drawdown,sharpe_ratio,win_rate,cagr,total_trades
001407,0.22428916674667065,-0.2682819383259909,1.0043025983825915,0.7301587301587301,0.019916152883194815,63
001724,-0.17589647974006817,-0.3572755417956658,0.5859588445153229,0.5853658536585366,-0.018997720287234232,82
002052,-0.2674305910535757,-0.5360824742268042,0.2953437509704995,0.6352941176470588,-0.03119117411950134,86
002112,0.07827546630065774,-0.370505184204721,0.6589903925789912,0.5584415584415584,0.00769051966161749,78
002163,-0.2538608035209472,-0.7762665174536227,0.23553937454272322,0.5652173913043478,-0.029403078237928537,93
002170,0.08470633757988733,-0.39573643410852655,0.7882347207740162,0.4897959183673469,0.008323092190600567,99
002580,-0.28560848974218145,-0.6884862653419053,0.28615476795228634,0.43119266055045874,-0.03538301309376901,110
002771,0.7174923316081196,-0.5270900609974873,0.8924795225325046,0.5921052631578947,0.05955396962408033,76
005118,-0.23470416875655742,-0.4983863080684594,0.3684652229959195,0.43157894736842106,-0.032762491607286504,95
005312,-0.2268770780841355,-0.6605844942459116,0.4986546419117053,0.4375,-0.03364709882475647,82
005551,-0.2734412545220296,-0.638562014591668,0.5057983466282887,0.4074074074074074,-0.04164324227896876,82
005959,0.5961616991158476,-0.34942981838659726,0.7542580255818604,0.5697674418604651,0.06688460837230092,87
005963,-0.2168806054911654,-0.5742183184178539,0.8204785145300794,0.4782608695652174,-0.03390128968515527,72
006503,-0.0008389921608114026,-0.5384679817397503,0.7174894753313664,0.4125,-0.00012375920024321196,80
006523,0.2761165701548982,-0.556145858488287,0.6064924862623225,0.5180722891566265,0.03802961512388192,83
006888,0.2375635578620574,-0.6192476150476987,0.4864254374038743,0.4520547945205479,0.03355231615437382,75
007114,-0.13894288642182528,-0.6322101656196468,0.5039821193698001,0.44285714285714284,-0.025279195620723338,70
007356,0.3241661304648318,-0.4793106186958933,0.8932572944794044,0.5625,0.04513709555349377,66
007509,0.1508513423508948,-0.27319587628866004,1.2349451527254143,0.559322033898305,0.022753170317092897,59
007771,-0.3684227707517276,-0.7656612529002318,0.2031692036363321,0.34782608695652173,-0.07310379997253602,71
007818,-0.017876617012770324,-0.44363248839156655,0.6577576269209301,0.44776119402985076,-0.002990293533917776,67
008021,-0.16823120776154155,-0.5315517241379314,0.3767658843331202,0.5,-0.03393090828304324,56
008087,0.21584053734605302,-0.5052269601100428,0.5499831418204263,0.5,0.03459292027762828,62
008327,0.08266063403107493,-0.42382094324540276,0.6816217384507911,0.4657534246575342,0.014146943027298242,74
008586,-0.19696589604045156,-0.4560434139121866,0.3421818773363152,0.47058823529411764,-0.041462899799785125,51
008843,-0.4497660241575402,-0.6706325932132391,0.051104623055910924,0.3880597014925373,-0.11222979167157299,68
008989,0.06144073158841312,-0.4860040139431705,0.821360537764901,0.5178571428571429,0.011133623418527305,58
009009,-0.06058869737654626,-0.6130952380952372,0.661724229455399,0.453125,-0.011304546914199465,66
009063,0.40159983924729836,-0.5978346560151362,0.5821326402496344,0.4838709677419355,0.06402640541269289,64
009239,-0.043666824304068874,-0.4718454348569455,0.5267415242052034,0.48,-0.008145190706623673,50
009492,0.14243060649882433,-0.5509838998211091,0.5282751905116257,0.5192307692307693,0.026580122279555418,53
009645,-0.4633434354102054,-0.6711828875344542,0.5761726375290163,0.3275862068965517,-0.11332846673627361,60
